"Year","ID","Month","Treatment","Species","Age","Sex","NV","NG","NDVI","Death_date","Season","PropGV","Month_AD","MY"
"2010","10-016","03","Carcass","Wildebeest","A","F",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","03","Carcass","Wildebeest","A","M",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","03","Carcass","Wildebeest","SA","F",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","03","Carcass","Wildebeest","SA","M",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","03","Carcass","Zebra","A","F",2,0,0.344642857142857,2010-02-03,"Hot_wet",0,1,"2010/03-10-016"
"2010","10-016","03","Carcass","Zebra","A","M",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","03","Carcass","Zebra","SA","F",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","03","Carcass","Zebra","SA","M",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","03","Control","Wildebeest","A","F",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","03","Control","Wildebeest","A","M",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","03","Control","Wildebeest","SA","F",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","03","Control","Wildebeest","SA","M",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","03","Control","Zebra","A","F",2,0,0.344642857142857,2010-02-03,"Hot_wet",0,1,"2010/03-10-016"
"2010","10-016","03","Control","Zebra","A","M",1,0,0.344642857142857,2010-02-03,"Hot_wet",0,1,"2010/03-10-016"
"2010","10-016","03","Control","Zebra","SA","F",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","03","Control","Zebra","SA","M",0,0,0.344642857142857,2010-02-03,"Hot_wet",NA,1,"2010/03-10-016"
"2010","10-016","04","Carcass","Wildebeest","A","F",0,0,0.3497,2010-02-03,"Hot_wet",NA,2,"2010/04-10-016"
"2010","10-016","04","Carcass","Wildebeest","A","M",0,0,0.3497,2010-02-03,"Hot_wet",NA,2,"2010/04-10-016"
"2010","10-016","04","Carcass","Wildebeest","SA","F",0,0,0.3497,2010-02-03,"Hot_wet",NA,2,"2010/04-10-016"
"2010","10-016","04","Carcass","Wildebeest","SA","M",0,0,0.3497,2010-02-03,"Hot_wet",NA,2,"2010/04-10-016"
"2010","10-016","04","Carcass","Zebra","A","F",6,3,0.3497,2010-02-03,"Hot_wet",0.5,2,"2010/04-10-016"
"2010","10-016","04","Carcass","Zebra","A","M",1,1,0.3497,2010-02-03,"Hot_wet",1,2,"2010/04-10-016"
"2010","10-016","04","Carcass","Zebra","SA","F",2,1,0.3497,2010-02-03,"Hot_wet",0.5,2,"2010/04-10-016"
"2010","10-016","04","Carcass","Zebra","SA","M",0,0,0.3497,2010-02-03,"Hot_wet",NA,2,"2010/04-10-016"
"2010","10-016","04","Control","Wildebeest","A","F",0,0,0.3497,2010-02-03,"Hot_wet",NA,2,"2010/04-10-016"
"2010","10-016","04","Control","Wildebeest","A","M",1,1,0.3497,2010-02-03,"Hot_wet",1,2,"2010/04-10-016"
"2010","10-016","04","Control","Wildebeest","SA","F",0,0,0.3497,2010-02-03,"Hot_wet",NA,2,"2010/04-10-016"
"2010","10-016","04","Control","Wildebeest","SA","M",0,0,0.3497,2010-02-03,"Hot_wet",NA,2,"2010/04-10-016"
"2010","10-016","04","Control","Zebra","A","F",3,1,0.3497,2010-02-03,"Hot_wet",0.333333333333333,2,"2010/04-10-016"
"2010","10-016","04","Control","Zebra","A","M",1,0,0.3497,2010-02-03,"Hot_wet",0,2,"2010/04-10-016"
"2010","10-016","04","Control","Zebra","SA","F",1,0,0.3497,2010-02-03,"Hot_wet",0,2,"2010/04-10-016"
"2010","10-016","04","Control","Zebra","SA","M",1,1,0.3497,2010-02-03,"Hot_wet",1,2,"2010/04-10-016"
"2010","10-016","06","Carcass","Wildebeest","A","F",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Carcass","Wildebeest","A","M",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Carcass","Wildebeest","SA","F",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Carcass","Wildebeest","SA","M",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Carcass","Zebra","A","F",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Carcass","Zebra","A","M",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Carcass","Zebra","SA","F",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Carcass","Zebra","SA","M",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Control","Wildebeest","A","F",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Control","Wildebeest","A","M",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Control","Wildebeest","SA","F",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Control","Wildebeest","SA","M",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Control","Zebra","A","F",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Control","Zebra","A","M",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Control","Zebra","SA","F",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","06","Control","Zebra","SA","M",0,0,0.184986666666667,2010-02-03,"Cool_dry",NA,4,"2010/06-10-016"
"2010","10-016","07","Carcass","Wildebeest","A","F",11,11,0.17441935483871,2010-02-03,"Cool_dry",1,5,"2010/07-10-016"
"2010","10-016","07","Carcass","Wildebeest","A","M",2,2,0.17441935483871,2010-02-03,"Cool_dry",1,5,"2010/07-10-016"
"2010","10-016","07","Carcass","Wildebeest","SA","F",6,6,0.17441935483871,2010-02-03,"Cool_dry",1,5,"2010/07-10-016"
"2010","10-016","07","Carcass","Wildebeest","SA","M",1,1,0.17441935483871,2010-02-03,"Cool_dry",1,5,"2010/07-10-016"
"2010","10-016","07","Carcass","Zebra","A","F",0,0,0.17441935483871,2010-02-03,"Cool_dry",NA,5,"2010/07-10-016"
"2010","10-016","07","Carcass","Zebra","A","M",0,0,0.17441935483871,2010-02-03,"Cool_dry",NA,5,"2010/07-10-016"
"2010","10-016","07","Carcass","Zebra","SA","F",0,0,0.17441935483871,2010-02-03,"Cool_dry",NA,5,"2010/07-10-016"
"2010","10-016","07","Carcass","Zebra","SA","M",0,0,0.17441935483871,2010-02-03,"Cool_dry",NA,5,"2010/07-10-016"
"2010","10-016","07","Control","Wildebeest","A","F",2,1,0.17441935483871,2010-02-03,"Cool_dry",0.5,5,"2010/07-10-016"
"2010","10-016","07","Control","Wildebeest","A","M",0,0,0.17441935483871,2010-02-03,"Cool_dry",NA,5,"2010/07-10-016"
"2010","10-016","07","Control","Wildebeest","SA","F",0,0,0.17441935483871,2010-02-03,"Cool_dry",NA,5,"2010/07-10-016"
"2010","10-016","07","Control","Wildebeest","SA","M",0,0,0.17441935483871,2010-02-03,"Cool_dry",NA,5,"2010/07-10-016"
"2010","10-016","07","Control","Zebra","A","F",0,0,0.17441935483871,2010-02-03,"Cool_dry",NA,5,"2010/07-10-016"
"2010","10-016","07","Control","Zebra","A","M",0,0,0.17441935483871,2010-02-03,"Cool_dry",NA,5,"2010/07-10-016"
"2010","10-016","07","Control","Zebra","SA","F",0,0,0.17441935483871,2010-02-03,"Cool_dry",NA,5,"2010/07-10-016"
"2010","10-016","07","Control","Zebra","SA","M",0,0,0.17441935483871,2010-02-03,"Cool_dry",NA,5,"2010/07-10-016"
"2010","10-016","08","Carcass","Wildebeest","A","F",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","08","Carcass","Wildebeest","A","M",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","08","Carcass","Wildebeest","SA","F",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","08","Carcass","Wildebeest","SA","M",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","08","Carcass","Zebra","A","F",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","08","Carcass","Zebra","A","M",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","08","Carcass","Zebra","SA","F",1,0,0.164322580645161,2010-02-03,"Cool_dry",0,6,"2010/08-10-016"
"2010","10-016","08","Carcass","Zebra","SA","M",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","08","Control","Wildebeest","A","F",1,1,0.164322580645161,2010-02-03,"Cool_dry",1,6,"2010/08-10-016"
"2010","10-016","08","Control","Wildebeest","A","M",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","08","Control","Wildebeest","SA","F",1,1,0.164322580645161,2010-02-03,"Cool_dry",1,6,"2010/08-10-016"
"2010","10-016","08","Control","Wildebeest","SA","M",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","08","Control","Zebra","A","F",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","08","Control","Zebra","A","M",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","08","Control","Zebra","SA","F",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","08","Control","Zebra","SA","M",0,0,0.164322580645161,2010-02-03,"Cool_dry",NA,6,"2010/08-10-016"
"2010","10-016","09","Carcass","Wildebeest","A","F",0,0,0.173076666666667,2010-02-03,"Hot_dry",NA,7,"2010/09-10-016"
"2010","10-016","09","Carcass","Wildebeest","A","M",0,0,0.173076666666667,2010-02-03,"Hot_dry",NA,7,"2010/09-10-016"
"2010","10-016","09","Carcass","Wildebeest","SA","F",0,0,0.173076666666667,2010-02-03,"Hot_dry",NA,7,"2010/09-10-016"
"2010","10-016","09","Carcass","Wildebeest","SA","M",0,0,0.173076666666667,2010-02-03,"Hot_dry",NA,7,"2010/09-10-016"
