"","Step","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","LD","sim","Weather","CarcTot"
"25711",56,35540,35367,35612,35731,35462,35503,35276,35663,35162,35775,35184,"1e+07","55","Normal",390275
"25712",57,35531,35540,35367,35612,35731,35462,35503,35276,35663,35162,35775,"1e+07","55","Normal",390622
"25713",58,35238,35531,35540,35367,35612,35731,35462,35503,35276,35663,35162,"1e+07","55","Normal",390085
"25714",59,35576,35238,35531,35540,35367,35612,35731,35462,35503,35276,35663,"1e+07","55","Normal",390499
"25715",60,35383,35576,35238,35531,35540,35367,35612,35731,35462,35503,35276,"1e+07","55","Normal",390219
"25716",61,35622,35383,35576,35238,35531,35540,35367,35612,35731,35462,35503,"1e+07","55","Normal",390565
"25717",62,35598,35622,35383,35576,35238,35531,35540,35367,35612,35731,35462,"1e+07","55","Normal",390660
"25718",63,35493,35598,35622,35383,35576,35238,35531,35540,35367,35612,35731,"1e+07","55","Normal",390691
"25719",64,35438,35493,35598,35622,35383,35576,35238,35531,35540,35367,35612,"1e+07","55","Normal",390398
"25720",65,35208,35438,35493,35598,35622,35383,35576,35238,35531,35540,35367,"1e+07","55","Normal",389994
"25721",66,35214,35208,35438,35493,35598,35622,35383,35576,35238,35531,35540,"1e+07","55","Normal",389841
"25722",67,35168,35214,35208,35438,35493,35598,35622,35383,35576,35238,35531,"1e+07","55","Normal",389469
"25723",68,35811,35168,35214,35208,35438,35493,35598,35622,35383,35576,35238,"1e+07","55","Normal",389749
"25724",69,35125,35811,35168,35214,35208,35438,35493,35598,35622,35383,35576,"1e+07","55","Normal",389636
"25725",70,35383,35125,35811,35168,35214,35208,35438,35493,35598,35622,35383,"1e+07","55","Normal",389443
"25726",71,34964,35383,35125,35811,35168,35214,35208,35438,35493,35598,35622,"1e+07","55","Normal",389024
"25727",72,35990,34964,35383,35125,35811,35168,35214,35208,35438,35493,35598,"1e+07","55","Normal",389392
"25728",73,35487,35990,34964,35383,35125,35811,35168,35214,35208,35438,35493,"1e+07","55","Normal",389281
