"","Step","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","LD","sim","Weather","CarcTot"
"206",3,17917,2104,245,1,24,11,64,39,18,0,29,"1e+05","3","Normal",20452
"207",4,129228,17917,2104,245,1,24,11,64,39,18,0,"1e+05","3","Normal",149651
"208",5,174270,129228,17917,2104,245,1,24,11,64,39,18,"1e+05","3","Normal",323921
"209",6,199745,174270,129228,17917,2104,245,1,24,11,64,39,"1e+05","3","Normal",523648
"210",7,218851,199745,174270,129228,17917,2104,245,1,24,11,64,"1e+05","3","Normal",742460
"211",8,227904,218851,199745,174270,129228,17917,2104,245,1,24,11,"1e+05","3","Normal",970300
"212",9,231862,227904,218851,199745,174270,129228,17917,2104,245,1,24,"1e+05","3","Normal",1202151
"213",10,233906,231862,227904,218851,199745,174270,129228,17917,2104,245,1,"1e+05","3","Normal",1436033
"214",11,235644,233906,231862,227904,218851,199745,174270,129228,17917,2104,245,"1e+05","3","Normal",1671676
"215",12,237755,235644,233906,231862,227904,218851,199745,174270,129228,17917,2104,"1e+05","3","Normal",1909186
"216",13,236577,237755,235644,233906,231862,227904,218851,199745,174270,129228,17917,"1e+05","3","Normal",2143659
"217",14,237149,236577,237755,235644,233906,231862,227904,218851,199745,174270,129228,"1e+05","3","Normal",2362891
"218",15,237499,237149,236577,237755,235644,233906,231862,227904,218851,199745,174270,"1e+05","3","Normal",2471162
"219",16,238732,237499,237149,236577,237755,235644,233906,231862,227904,218851,199745,"1e+05","3","Normal",2535624
"220",17,237558,238732,237499,237149,236577,237755,235644,233906,231862,227904,218851,"1e+05","3","Normal",2573437
"221",18,237601,237558,238732,237499,237149,236577,237755,235644,233906,231862,227904,"1e+05","3","Normal",2592187
"222",19,237819,237601,237558,238732,237499,237149,236577,237755,235644,233906,231862,"1e+05","3","Normal",2602102
"223",20,236610,237819,237601,237558,238732,237499,237149,236577,237755,235644,233906,"1e+05","3","Normal",2606850
"224",21,236799,236610,237819,237601,237558,238732,237499,237149,236577,237755,235644,"1e+05","3","Normal",2609743
"225",22,236936,236799,236610,237819,237601,237558,238732,237499,237149,236577,237755,"1e+05","3","Normal",2611035
"226",23,237230,236936,236799,236610,237819,237601,237558,238732,237499,237149,236577,"1e+05","3","Normal",2610510
"227",24,238348,237230,236936,236799,236610,237819,237601,237558,238732,237499,237149,"1e+05","3","Normal",2612281
"228",25,239257,238348,237230,236936,236799,236610,237819,237601,237558,238732,237499,"1e+05","3","Normal",2614389
"229",26,237346,239257,238348,237230,236936,236799,236610,237819,237601,237558,238732,"1e+05","3","Normal",2614236
"230",27,238515,237346,239257,238348,237230,236936,236799,236610,237819,237601,237558,"1e+05","3","Normal",2614019
"231",28,238055,238515,237346,239257,238348,237230,236936,236799,236610,237819,237601,"1e+05","3","Normal",2614516
"232",29,237147,238055,238515,237346,239257,238348,237230,236936,236799,236610,237819,"1e+05","3","Normal",2614062
"233",30,239025,237147,238055,238515,237346,239257,238348,237230,236936,236799,236610,"1e+05","3","Normal",2615268
"234",31,237467,239025,237147,238055,238515,237346,239257,238348,237230,236936,236799,"1e+05","3","Normal",2616125
"235",32,236843,237467,239025,237147,238055,238515,237346,239257,238348,237230,236936,"1e+05","3","Normal",2616169
"236",33,238777,236843,237467,239025,237147,238055,238515,237346,239257,238348,237230,"1e+05","3","Normal",2618010
"237",34,237381,238777,236843,237467,239025,237147,238055,238515,237346,239257,238348,"1e+05","3","Normal",2618161
"238",35,237901,237381,238777,236843,237467,239025,237147,238055,238515,237346,239257,"1e+05","3","Normal",2617714
"239",36,236978,237901,237381,238777,236843,237467,239025,237147,238055,238515,237346,"1e+05","3","Normal",2615435
"240",37,238110,236978,237901,237381,238777,236843,237467,239025,237147,238055,238515,"1e+05","3","Normal",2616199
"241",38,239288,238110,236978,237901,237381,238777,236843,237467,239025,237147,238055,"1e+05","3","Normal",2616972
"242",39,237573,239288,238110,236978,237901,237381,238777,236843,237467,239025,237147,"1e+05","3","Normal",2616490
"243",40,237283,237573,239288,238110,236978,237901,237381,238777,236843,237467,239025,"1e+05","3","Normal",2616626
"244",41,238408,237283,237573,239288,238110,236978,237901,237381,238777,236843,237467,"1e+05","3","Normal",2616009
"245",42,237110,238408,237283,237573,239288,238110,236978,237901,237381,238777,236843,"1e+05","3","Normal",2615652
"246",43,238584,237110,238408,237283,237573,239288,238110,236978,237901,237381,238777,"1e+05","3","Normal",2617393
"247",44,237845,238584,237110,238408,237283,237573,239288,238110,236978,237901,237381,"1e+05","3","Normal",2616461
"248",45,237304,237845,238584,237110,238408,237283,237573,239288,238110,236978,237901,"1e+05","3","Normal",2616384
"249",46,235289,237304,237845,238584,237110,238408,237283,237573,239288,238110,236978,"1e+05","3","Normal",2613772
"250",47,237830,235289,237304,237845,238584,237110,238408,237283,237573,239288,238110,"1e+05","3","Normal",2614624
"251",48,237192,237830,235289,237304,237845,238584,237110,238408,237283,237573,239288,"1e+05","3","Normal",2613706
"252",49,237087,237192,237830,235289,237304,237845,238584,237110,238408,237283,237573,"1e+05","3","Normal",2611505
"253",50,238366,237087,237192,237830,235289,237304,237845,238584,237110,238408,237283,"1e+05","3","Normal",2612298
"254",51,238033,238366,237087,237192,237830,235289,237304,237845,238584,237110,238408,"1e+05","3","Normal",2613048
"255",52,235684,238033,238366,237087,237192,237830,235289,237304,237845,238584,237110,"1e+05","3","Normal",2610324
"256",53,237354,235684,238033,238366,237087,237192,237830,235289,237304,237845,238584,"1e+05","3","Normal",2610568
"257",54,237406,237354,235684,238033,238366,237087,237192,237830,235289,237304,237845,"1e+05","3","Normal",2609390
"258",55,238115,237406,237354,235684,238033,238366,237087,237192,237830,235289,237304,"1e+05","3","Normal",2609660
"259",56,236861,238115,237406,237354,235684,238033,238366,237087,237192,237830,235289,"1e+05","3","Normal",2609217
"260",57,235595,236861,238115,237406,237354,235684,238033,238366,237087,237192,237830,"1e+05","3","Normal",2609523
"261",58,239049,235595,236861,238115,237406,237354,235684,238033,238366,237087,237192,"1e+05","3","Normal",2610742
"262",59,237153,239049,235595,236861,238115,237406,237354,235684,238033,238366,237087,"1e+05","3","Normal",2610703
"263",60,237705,237153,239049,235595,236861,238115,237406,237354,235684,238033,238366,"1e+05","3","Normal",2611321
"264",61,239217,237705,237153,239049,235595,236861,238115,237406,237354,235684,238033,"1e+05","3","Normal",2612172
"265",62,236467,239217,237705,237153,239049,235595,236861,238115,237406,237354,235684,"1e+05","3","Normal",2610606
"266",63,238344,236467,239217,237705,237153,239049,235595,236861,238115,237406,237354,"1e+05","3","Normal",2613266
"267",64,238240,238344,236467,239217,237705,237153,239049,235595,236861,238115,237406,"1e+05","3","Normal",2614152
"268",65,237891,238240,238344,236467,239217,237705,237153,239049,235595,236861,238115,"1e+05","3","Normal",2614637
"269",66,237821,237891,238240,238344,236467,239217,237705,237153,239049,235595,236861,"1e+05","3","Normal",2614343
"270",67,238437,237821,237891,238240,238344,236467,239217,237705,237153,239049,235595,"1e+05","3","Normal",2615919
"271",68,236639,238437,237821,237891,238240,238344,236467,239217,237705,237153,239049,"1e+05","3","Normal",2616963
"272",69,237852,236639,238437,237821,237891,238240,238344,236467,239217,237705,237153,"1e+05","3","Normal",2615766
"273",70,237398,237852,236639,238437,237821,237891,238240,238344,236467,239217,237705,"1e+05","3","Normal",2616011
"274",71,238205,237398,237852,236639,238437,237821,237891,238240,238344,236467,239217,"1e+05","3","Normal",2616511
"275",72,238101,238205,237398,237852,236639,238437,237821,237891,238240,238344,236467,"1e+05","3","Normal",2615395
"276",73,238069,238101,238205,237398,237852,236639,238437,237821,237891,238240,238344,"1e+05","3","Normal",2616997
"277",74,236075,238069,238101,238205,237398,237852,236639,238437,237821,237891,238240,"1e+05","3","Normal",2614728
"278",75,235903,236075,238069,238101,238205,237398,237852,236639,238437,237821,237891,"1e+05","3","Normal",2612391
"279",76,238066,235903,236075,238069,238101,238205,237398,237852,236639,238437,237821,"1e+05","3","Normal",2612566
"280",77,236867,238066,235903,236075,238069,238101,238205,237398,237852,236639,238437,"1e+05","3","Normal",2611612
"281",78,237530,236867,238066,235903,236075,238069,238101,238205,237398,237852,236639,"1e+05","3","Normal",2610705
"282",79,237085,237530,236867,238066,235903,236075,238069,238101,238205,237398,237852,"1e+05","3","Normal",2611151
"283",80,236945,237085,237530,236867,238066,235903,236075,238069,238101,238205,237398,"1e+05","3","Normal",2610244
"284",81,235868,236945,237085,237530,236867,238066,235903,236075,238069,238101,238205,"1e+05","3","Normal",2608714
"285",82,237846,235868,236945,237085,237530,236867,238066,235903,236075,238069,238101,"1e+05","3","Normal",2608355
"286",83,237689,237846,235868,236945,237085,237530,236867,238066,235903,236075,238069,"1e+05","3","Normal",2607943
"287",84,237934,237689,237846,235868,236945,237085,237530,236867,238066,235903,236075,"1e+05","3","Normal",2607808
"288",85,237463,237934,237689,237846,235868,236945,237085,237530,236867,238066,235903,"1e+05","3","Normal",2609196
"289",86,237278,237463,237934,237689,237846,235868,236945,237085,237530,236867,238066,"1e+05","3","Normal",2610571
"290",87,238138,237278,237463,237934,237689,237846,235868,236945,237085,237530,236867,"1e+05","3","Normal",2610643
"291",88,235774,238138,237278,237463,237934,237689,237846,235868,236945,237085,237530,"1e+05","3","Normal",2609550
"292",89,238738,235774,238138,237278,237463,237934,237689,237846,235868,236945,237085,"1e+05","3","Normal",2610758
"293",90,237444,238738,235774,238138,237278,237463,237934,237689,237846,235868,236945,"1e+05","3","Normal",2611117
"294",91,237361,237444,238738,235774,238138,237278,237463,237934,237689,237846,235868,"1e+05","3","Normal",2611533
"295",92,238361,237361,237444,238738,235774,238138,237278,237463,237934,237689,237846,"1e+05","3","Normal",2614026
"296",93,238731,238361,237361,237444,238738,235774,238138,237278,237463,237934,237689,"1e+05","3","Normal",2614911
"297",94,237783,238731,238361,237361,237444,238738,235774,238138,237278,237463,237934,"1e+05","3","Normal",2615005
"298",95,238509,237783,238731,238361,237361,237444,238738,235774,238138,237278,237463,"1e+05","3","Normal",2615580
"299",96,237048,238509,237783,238731,238361,237361,237444,238738,235774,238138,237278,"1e+05","3","Normal",2615165
"300",97,238107,237048,238509,237783,238731,238361,237361,237444,238738,235774,238138,"1e+05","3","Normal",2615994
"301",98,237443,238107,237048,238509,237783,238731,238361,237361,237444,238738,235774,"1e+05","3","Normal",2615299
"302",99,236769,237443,238107,237048,238509,237783,238731,238361,237361,237444,238738,"1e+05","3","Normal",2616294
"303",100,237594,236769,237443,238107,237048,238509,237783,238731,238361,237361,237444,"1e+05","3","Normal",2615150
"304",0,1,24,11,64,39,18,0,29,6,31,12,"1e+05","4",NA,235
"305",1,211,1,24,11,64,39,18,0,29,6,31,"1e+05","4","Normal",434
"306",2,1720,211,1,24,11,64,39,18,0,29,6,"1e+05","4","Normal",2123
"307",3,14990,1720,211,1,24,11,64,39,18,0,29,"1e+05","4","Normal",17107
"308",4,126836,14990,1720,211,1,24,11,64,39,18,0,"1e+05","4","Normal",143914
"309",5,175120,126836,14990,1720,211,1,24,11,64,39,18,"1e+05","4","Normal",319034
"310",6,197723,175120,126836,14990,1720,211,1,24,11,64,39,"1e+05","4","Normal",516739
"311",7,216502,197723,175120,126836,14990,1720,211,1,24,11,64,"1e+05","4","Normal",733202
"312",8,228216,216502,197723,175120,126836,14990,1720,211,1,24,11,"1e+05","4","Normal",961354
"313",9,233212,228216,216502,197723,175120,126836,14990,1720,211,1,24,"1e+05","4","Normal",1194555
"314",10,233556,233212,228216,216502,197723,175120,126836,14990,1720,211,1,"1e+05","4","Normal",1428087
"315",11,234586,233556,233212,228216,216502,197723,175120,126836,14990,1720,211,"1e+05","4","Normal",1662672
"316",12,236887,234586,233556,233212,228216,216502,197723,175120,126836,14990,1720,"1e+05","4","Normal",1899348
"317",13,237434,236887,234586,233556,233212,228216,216502,197723,175120,126836,14990,"1e+05","4","Normal",2135062
"318",14,238063,237434,236887,234586,233556,233212,228216,216502,197723,175120,126836,"1e+05","4","Normal",2358135
"319",15,237964,238063,237434,236887,234586,233556,233212,228216,216502,197723,175120,"1e+05","4","Normal",2469263
"320",16,237427,237964,238063,237434,236887,234586,233556,233212,228216,216502,197723,"1e+05","4","Normal",2531570
"321",17,239212,237427,237964,238063,237434,236887,234586,233556,233212,228216,216502,"1e+05","4","Normal",2573059
"322",18,236981,239212,237427,237964,238063,237434,236887,234586,233556,233212,228216,"1e+05","4","Normal",2593538
"323",19,238695,236981,239212,237427,237964,238063,237434,236887,234586,233556,233212,"1e+05","4","Normal",2604017
"324",20,237305,238695,236981,239212,237427,237964,238063,237434,236887,234586,233556,"1e+05","4","Normal",2608110
"325",21,237680,237305,238695,236981,239212,237427,237964,238063,237434,236887,234586,"1e+05","4","Normal",2612234
"326",22,237752,237680,237305,238695,236981,239212,237427,237964,238063,237434,236887,"1e+05","4","Normal",2615400
"327",23,236494,237752,237680,237305,238695,236981,239212,237427,237964,238063,237434,"1e+05","4","Normal",2615007
"328",24,237149,236494,237752,237680,237305,238695,236981,239212,237427,237964,238063,"1e+05","4","Normal",2614722
"329",25,237393,237149,236494,237752,237680,237305,238695,236981,239212,237427,237964,"1e+05","4","Normal",2614052
"330",26,236970,237393,237149,236494,237752,237680,237305,238695,236981,239212,237427,"1e+05","4","Normal",2613058
"331",27,237662,236970,237393,237149,236494,237752,237680,237305,238695,236981,239212,"1e+05","4","Normal",2613293
"332",28,238070,237662,236970,237393,237149,236494,237752,237680,237305,238695,236981,"1e+05","4","Normal",2612151
"333",29,238327,238070,237662,236970,237393,237149,236494,237752,237680,237305,238695,"1e+05","4","Normal",2613497
"334",30,237619,238327,238070,237662,236970,237393,237149,236494,237752,237680,237305,"1e+05","4","Normal",2612421
"335",31,237532,237619,238327,238070,237662,236970,237393,237149,236494,237752,237680,"1e+05","4","Normal",2612648
"336",32,237401,237532,237619,238327,238070,237662,236970,237393,237149,236494,237752,"1e+05","4","Normal",2612369
"337",33,238536,237401,237532,237619,238327,238070,237662,236970,237393,237149,236494,"1e+05","4","Normal",2613153
"338",34,237712,238536,237401,237532,237619,238327,238070,237662,236970,237393,237149,"1e+05","4","Normal",2614371
"339",35,238185,237712,238536,237401,237532,237619,238327,238070,237662,236970,237393,"1e+05","4","Normal",2615407
"340",36,237746,238185,237712,238536,237401,237532,237619,238327,238070,237662,236970,"1e+05","4","Normal",2615760
"341",37,237773,237746,238185,237712,238536,237401,237532,237619,238327,238070,237662,"1e+05","4","Normal",2616563
"342",38,236958,237773,237746,238185,237712,238536,237401,237532,237619,238327,238070,"1e+05","4","Normal",2615859
"343",39,238651,236958,237773,237746,238185,237712,238536,237401,237532,237619,238327,"1e+05","4","Normal",2616440
"344",40,236856,238651,236958,237773,237746,238185,237712,238536,237401,237532,237619,"1e+05","4","Normal",2614969
"345",41,238431,236856,238651,236958,237773,237746,238185,237712,238536,237401,237532,"1e+05","4","Normal",2615781
"346",42,237271,238431,236856,238651,236958,237773,237746,238185,237712,238536,237401,"1e+05","4","Normal",2615520
"347",43,238352,237271,238431,236856,238651,236958,237773,237746,238185,237712,238536,"1e+05","4","Normal",2616471
"348",44,236716,238352,237271,238431,236856,238651,236958,237773,237746,238185,237712,"1e+05","4","Normal",2614651
"349",45,239746,236716,238352,237271,238431,236856,238651,236958,237773,237746,238185,"1e+05","4","Normal",2616685
"350",46,238637,239746,236716,238352,237271,238431,236856,238651,236958,237773,237746,"1e+05","4","Normal",2617137
"351",47,235880,238637,239746,236716,238352,237271,238431,236856,238651,236958,237773,"1e+05","4","Normal",2615271
"352",48,238502,235880,238637,239746,236716,238352,237271,238431,236856,238651,236958,"1e+05","4","Normal",2616000
"353",49,238165,238502,235880,238637,239746,236716,238352,237271,238431,236856,238651,"1e+05","4","Normal",2617207
"354",50,237970,238165,238502,235880,238637,239746,236716,238352,237271,238431,236856,"1e+05","4","Normal",2616526
"355",51,238322,237970,238165,238502,235880,238637,239746,236716,238352,237271,238431,"1e+05","4","Normal",2617992
"356",52,237229,238322,237970,238165,238502,235880,238637,239746,236716,238352,237271,"1e+05","4","Normal",2616790
"357",53,238742,237229,238322,237970,238165,238502,235880,238637,239746,236716,238352,"1e+05","4","Normal",2618261
"358",54,238463,238742,237229,238322,237970,238165,238502,235880,238637,239746,236716,"1e+05","4","Normal",2618372
"359",55,236253,238463,238742,237229,238322,237970,238165,238502,235880,238637,239746,"1e+05","4","Normal",2617909
"360",56,237938,236253,238463,238742,237229,238322,237970,238165,238502,235880,238637,"1e+05","4","Normal",2616101
"361",57,237151,237938,236253,238463,238742,237229,238322,237970,238165,238502,235880,"1e+05","4","Normal",2614615
"362",58,239640,237151,237938,236253,238463,238742,237229,238322,237970,238165,238502,"1e+05","4","Normal",2618375
"363",59,238496,239640,237151,237938,236253,238463,238742,237229,238322,237970,238165,"1e+05","4","Normal",2618369
"364",60,237774,238496,239640,237151,237938,236253,238463,238742,237229,238322,237970,"1e+05","4","Normal",2617978
"365",61,237388,237774,238496,239640,237151,237938,236253,238463,238742,237229,238322,"1e+05","4","Normal",2617396
"366",62,237004,237388,237774,238496,239640,237151,237938,236253,238463,238742,237229,"1e+05","4","Normal",2616078
"367",63,237920,237004,237388,237774,238496,239640,237151,237938,236253,238463,238742,"1e+05","4","Normal",2616769
"368",64,237792,237920,237004,237388,237774,238496,239640,237151,237938,236253,238463,"1e+05","4","Normal",2615819
"369",65,237332,237792,237920,237004,237388,237774,238496,239640,237151,237938,236253,"1e+05","4","Normal",2614688
"370",66,237245,237332,237792,237920,237004,237388,237774,238496,239640,237151,237938,"1e+05","4","Normal",2615680
"371",67,238313,237245,237332,237792,237920,237004,237388,237774,238496,239640,237151,"1e+05","4","Normal",2616055
"372",68,238439,238313,237245,237332,237792,237920,237004,237388,237774,238496,239640,"1e+05","4","Normal",2617343
"373",69,236540,238439,238313,237245,237332,237792,237920,237004,237388,237774,238496,"1e+05","4","Normal",2614243
"374",70,237586,236540,238439,238313,237245,237332,237792,237920,237004,237388,237774,"1e+05","4","Normal",2613333
"375",71,237638,237586,236540,238439,238313,237245,237332,237792,237920,237004,237388,"1e+05","4","Normal",2613197
"376",72,236836,237638,237586,236540,238439,238313,237245,237332,237792,237920,237004,"1e+05","4","Normal",2612645
"377",73,237299,236836,237638,237586,236540,238439,238313,237245,237332,237792,237920,"1e+05","4","Normal",2612940
"378",74,238073,237299,236836,237638,237586,236540,238439,238313,237245,237332,237792,"1e+05","4","Normal",2613093
"379",75,237219,238073,237299,236836,237638,237586,236540,238439,238313,237245,237332,"1e+05","4","Normal",2612520
"380",76,237411,237219,238073,237299,236836,237638,237586,236540,238439,238313,237245,"1e+05","4","Normal",2612599
"381",77,237162,237411,237219,238073,237299,236836,237638,237586,236540,238439,238313,"1e+05","4","Normal",2612516
"382",78,236561,237162,237411,237219,238073,237299,236836,237638,237586,236540,238439,"1e+05","4","Normal",2610764
"383",79,235365,236561,237162,237411,237219,238073,237299,236836,237638,237586,236540,"1e+05","4","Normal",2607690
"384",80,239094,235365,236561,237162,237411,237219,238073,237299,236836,237638,237586,"1e+05","4","Normal",2610244
"385",81,236340,239094,235365,236561,237162,237411,237219,238073,237299,236836,237638,"1e+05","4","Normal",2608998
"386",82,236992,236340,239094,235365,236561,237162,237411,237219,238073,237299,236836,"1e+05","4","Normal",2608352
"387",83,237518,236992,236340,239094,235365,236561,237162,237411,237219,238073,237299,"1e+05","4","Normal",2609034
"388",84,237279,237518,236992,236340,239094,235365,236561,237162,237411,237219,238073,"1e+05","4","Normal",2609014
"389",85,239013,237279,237518,236992,236340,239094,235365,236561,237162,237411,237219,"1e+05","4","Normal",2609954
"390",86,236507,239013,237279,237518,236992,236340,239094,235365,236561,237162,237411,"1e+05","4","Normal",2609242
"391",87,238396,236507,239013,237279,237518,236992,236340,239094,235365,236561,237162,"1e+05","4","Normal",2610227
"392",88,239122,238396,236507,239013,237279,237518,236992,236340,239094,235365,236561,"1e+05","4","Normal",2612187
"393",89,237846,239122,238396,236507,239013,237279,237518,236992,236340,239094,235365,"1e+05","4","Normal",2613472
"394",90,237892,237846,239122,238396,236507,239013,237279,237518,236992,236340,239094,"1e+05","4","Normal",2615999
"395",91,236387,237892,237846,239122,238396,236507,239013,237279,237518,236992,236340,"1e+05","4","Normal",2613292
"396",92,238390,236387,237892,237846,239122,238396,236507,239013,237279,237518,236992,"1e+05","4","Normal",2615342
"397",93,238633,238390,236387,237892,237846,239122,238396,236507,239013,237279,237518,"1e+05","4","Normal",2616983
"398",94,238598,238633,238390,236387,237892,237846,239122,238396,236507,239013,237279,"1e+05","4","Normal",2618063
"399",95,238635,238598,238633,238390,236387,237892,237846,239122,238396,236507,239013,"1e+05","4","Normal",2619419
"400",96,238470,238635,238598,238633,238390,236387,237892,237846,239122,238396,236507,"1e+05","4","Normal",2618876
"401",97,237478,238470,238635,238598,238633,238390,236387,237892,237846,239122,238396,"1e+05","4","Normal",2619847
"402",98,237297,237478,238470,238635,238598,238633,238390,236387,237892,237846,239122,"1e+05","4","Normal",2618748
